objID raMean decMean nDetections ng nr ni nz ny gMeanPSFMag rMeanPSFMag iMeanPSFMag zMeanPSFMag yMeanPSFMag
122851876859828552 187.68596356 12.38163857 18 3 4 8 3 0 20.20870018005371 19.37019920349121 19.885000228881836 19.355100631713867 -999.0
122851876869661325 187.68693985 12.37568565 8 0 1 4 3 0 -999.0 18.94659996032715 20.380300521850586 19.74810028076172 -999.0
122851876877576117 187.68772791 12.37969384 5 2 1 1 1 0 20.219600677490234 20.059099197387695 20.046499252319336 19.26449966430664 -999.0
122851876884096077 187.68839652 12.37968155 6 0 1 4 1 0 -999.0 19.433000564575195 19.589099884033203 19.527999877929688 -999.0
122851876890760364 187.68902466 12.37505466 5 0 1 2 1 1 -999.0 18.7278995513916 20.784099578857422 19.77039909362793 19.09589958190918
122851876907352752 187.69082731 12.37688024 3 0 2 1 0 0 -999.0 19.885000228881836 20.54759979248047 -999.0 -999.0
122851876940772873 187.69406841 12.37688798 7 2 0 3 2 0 23.25 -999.0 20.255399703979492 -999.0 -999.0
122851876947027579 187.69477663 12.38089293 3 0 0 1 2 0 -999.0 -999.0 20.3435001373291 19.215099334716797 -999.0
122851876947049923 187.69476028 12.382815 8 2 1 2 3 0 19.867399215698242 18.59269905090332 19.06920051574707 18.139400482177734 -999.0
122831876958049611 187.69579528 12.36594804 22 2 3 8 7 2 20.93269920349121 19.23979949951172 19.712099075317383 19.679100036621094 18.748899459838867
122831876987328907 187.69882743 12.36545535 2 1 1 0 0 0 17.711700439453125 19.93280029296875 -999.0 -999.0 -999.0
122831877039279077 187.70386997 12.36543268 34 6 8 11 6 3 20.278200149536133 19.193300247192383 19.562400817871094 19.389400482177734 19.405799865722656
122851877227721410 187.72274541 12.37571767 2 0 0 2 0 0 -999.0 -999.0 19.417499542236328 -999.0 -999.0
122851877233849307 187.72322872 12.38225041 2 1 0 1 0 0 20.199100494384766 -999.0 18.672700881958008 -999.0 -999.0
122851877240941410 187.72406224 12.37570155 29 2 10 13 4 0 20.47010040283203 18.83799934387207 19.246299743652344 19.369300842285156 -999.0
122851877255288825 187.72544816 12.38193324 50 9 14 12 8 7 20.119800567626953 18.875200271606445 18.815799713134766 18.905899047851562 18.581899642944336
122851877257364781 187.7257665 12.37852869 22 1 9 9 3 0 21.286100387573242 19.179500579833984 19.272300720214844 20.419200897216797 -999.0
122851877268660965 187.72669174 12.37537665 2 0 0 0 2 0 -999.0 -999.0 -999.0 19.891700744628906 -999.0
